codigo|nombre|tipo|nivel|repeticiones|videoURL|autoload|poster|descripcion|musculos|calorias|tiempo
1|Abdominales|Musculacion|N1|10|https://www.youtube.com/watch?v=_HDZODOx7Zw&list=PLgve_TNgIw480TOU1ZuFiZh-zfRkRZVM6&index=30|true|https://img.youtube.com/vi/_HDZODOx7Zw/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
2|Abdominales-(Intenso)|Musculacion|RX+|40|https://www.youtube.com/watch?v=_HDZODOx7Zw&list=PLgve_TNgIw480TOU1ZuFiZh-zfRkRZVM6&index=30|true|https://img.youtube.com/vi/_HDZODOx7Zw/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
3|Abdominales V-(Intenso)|Musculacion|RX+|10|https://www.youtube.com/watch?v=7UVgs18Y1P4|true|https://img.youtube.com/vi/7UVgs18Y1P4/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
4|Toque a los pies-(Intenso)|Musculacion|RX+|20|https://www.youtube.com/watch?v=34B8AUoNdZg|true|https://img.youtube.com/vi/34B8AUoNdZg/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
5|Tuck Crunch-(Moderado)|Musculacion|N2|10|https://www.youtube.com/watch?v=Xbi6dVlys1w|true|https://img.youtube.com/vi/Xbi6dVlys1w/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
6|Abdominales Lastradas-(Intenso)|Musculacion|RX+|15|https://www.youtube.com/watch?v=lYZKNVZNWGA|false|https://img.youtube.com/vi/lYZKNVZNWGA/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
7|Elevación de una pierna|Musculacion|N1|10|https://www.youtube.com/watch?v=IUCoqgdvDxU|true|https://img.youtube.com/vi/IUCoqgdvDxU/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
8|Dragon Flag Tucked-(Moderado)|Musculacion|N2|15|https://www.youtube.com/watch?v=0Bt6bHm-G6s|true|https://img.youtube.com/vi/0Bt6bHm-G6s/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
9|Dragon flag una pierna-(Moderado)|Musculacion|N2|10|https://www.youtube.com/watch?v=ncEZO_gHk2Y|true|https://img.youtube.com/vi/ncEZO_gHk2Y/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
10|Dragon-(Máximo)|Musculacion|RX|15|https://www.youtube.com/watch?v=DJnX__TFB9o|true|https://img.youtube.com/vi/DJnX__TFB9o/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
11|Cambios Tuck a L-Sit una pierna en paralelas-(Moderado)|Musculacion|N2|10|https://www.youtube.com/watch?v=kr9ia1sygRg|true|https://img.youtube.com/vi/kr9ia1sygRg/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
12|L-Sit en paralelas seg-(Máximo)|Musculacion|RX|30|https://www.youtube.com/watch?v=63IZyYnDalY|true|https://img.youtube.com/vi/63IZyYnDalY/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
13|Tijeretas en L seg|Musculacion|N1|10|https://www.youtube.com/watch?v=hddaM93v3_0|true|https://img.youtube.com/vi/hddaM93v3_0/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
14|Tijeretas en L seg-(Intenso)|Musculacion|RX+|20|https://www.youtube.com/watch?v=hddaM93v3_0|true|https://img.youtube.com/vi/hddaM93v3_0/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
15|L-Sit seg|Musculacion|N1|10|https://www.youtube.com/watch?v=iJPsBpUHaRc|true|https://img.youtube.com/vi/iJPsBpUHaRc/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
16|L-Sit seg-(Intenso)|Musculacion|RX+|20|https://www.youtube.com/watch?v=iJPsBpUHaRc|true|https://img.youtube.com/vi/iJPsBpUHaRc/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
17|Tuck Hang seg|Musculacion|N1|10|https://www.youtube.com/watch?v=CopqkoUUOyE|true|https://img.youtube.com/vi/CopqkoUUOyE/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
18|Tuck Sit seg-(Intenso)|Musculacion|RX+|30|https://www.youtube.com/watch?v=zV_jJ7px0Vo|true|https://img.youtube.com/vi/zV_jJ7px0Vo/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
19|Plancha Alta seg|Musculacion|N1|30|https://www.youtube.com/watch?v=x5Wm9TIwlbY|true|https://img.youtube.com/vi/x5Wm9TIwlbY/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
20|Plancha Baja seg-(Moderado)|Musculacion|N2|40|https://www.youtube.com/watch?v=tOwnFDJZzyg|true|https://img.youtube.com/vi/tOwnFDJZzyg/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
21|Plancha toque al hombro-(Moderado)|Musculacion|N2|20|https://www.youtube.com/watch?v=8aiEd9jTrqM|true|https://img.youtube.com/vi/8aiEd9jTrqM/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
22|Plank March-(Intenso)|Musculacion|RX+|20|https://www.youtube.com/watch?v=Uw83y7v63W8|true|https://img.youtube.com/vi/Uw83y7v63W8/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
23|Side Plank Hip Drop-(Moderado)|Musculacion|N2|10|https://www.youtube.com/watch?v=ia57H04rLyU|true|https://img.youtube.com/vi/ia57H04rLyU/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
24|Plancha Alta a Baja-(Intenso)|Musculacion|RX+|30|https://www.youtube.com/watch?v=jdnPcOf4YOA|true|https://img.youtube.com/vi/jdnPcOf4YOA/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
25|Plancha en Anillas seg-(Moderado)|Musculacion|N2|15|https://www.youtube.com/watch?v=jp8g1t32Ne8|false|https://img.youtube.com/vi/jp8g1t32Ne8/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
26|Plancha en Anillas seg-(Máximo)|Musculacion|RX|45|https://www.youtube.com/watch?v=jp8g1t32Ne8|false|https://img.youtube.com/vi/jp8g1t32Ne8/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
27|Complex de Plancha en Anillas-(Intenso)|Musculacion|RX+|5|https://www.youtube.com/watch?v=8RlCWYjt1Qg|false|https://img.youtube.com/vi/8RlCWYjt1Qg/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
28|Plancha en Anillas Lateral seg-(Intenso)|Musculacion|RX+|30|https://www.youtube.com/watch?v=PQ3Vz8fp73k|false|https://img.youtube.com/vi/PQ3Vz8fp73k/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
29|Plancha en Anillas a una Pierna seg-(Intenso)|Musculacion|RX+|30|https://www.youtube.com/watch?v=k9Z1C4Yz8F0|false|https://img.youtube.com/vi/k9Z1C4Yz8F0/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
30|Plancha en Anillas a un Brazo seg-(Intenso)|Musculacion|RX+|20|https://www.youtube.com/watch?v=UsPOv4Taxq8|false|https://img.youtube.com/vi/UsPOv4Taxq8/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
31|Plancha en Anillas en cajón seg-(Máximo)|Musculacion|RX|60|https://www.youtube.com/watch?v=bhclHDAaLpM|false|https://img.youtube.com/vi/bhclHDAaLpM/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
32|Plancha lateral seg|Musculacion|N1|15|https://www.youtube.com/watch?v=nmkABS8Pgks|true|https://img.youtube.com/vi/nmkABS8Pgks/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
33|Plancha lateral seg-(Intenso)|Musculacion|RX+|60|https://www.youtube.com/watch?v=nmkABS8Pgks|true|https://img.youtube.com/vi/nmkABS8Pgks/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
34|Plancha lateral dinámica-(Intenso)|Musculacion|RX+|30|https://www.youtube.com/watch?v=MgRdCn5l5VY|true|https://img.youtube.com/vi/MgRdCn5l5VY/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
35|Evil Wheel Rodillas-(Intenso)|Musculacion|RX+|8|https://www.youtube.com/watch?v=YbGUIE8q5sg|false|https://img.youtube.com/vi/YbGUIE8q5sg/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
36|Evil Wheel-(Máximo)|Musculacion|RX|4|https://www.youtube.com/watch?v=UD7__sTmx60|false|https://img.youtube.com/vi/UD7__sTmx60/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
37|Tuck en anillas seg-(Moderado)|Musculacion|N2|20|https://www.youtube.com/watch?v=se4-AVYbfnQ|false|https://img.youtube.com/vi/se4-AVYbfnQ/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
38|L-Sit en anillas seg-(Máximo)|Musculacion|RX|45|https://www.youtube.com/watch?v=DemH-mw1O9I&list=PLgve_TNgIw480TOU1ZuFiZh-zfRkRZVM6&index=36|false|https://img.youtube.com/vi/DemH-mw1O9I/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
39|Subida de rodillas Kipping|Musculacion|N1|10|https://www.youtube.com/watch?v=kfdOkBnIQx0|true|https://img.youtube.com/vi/kfdOkBnIQx0/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
